shapeid,x,y,address
540,-73.7492428354,40.7796320117,359 richmond road
541,-73.89961985,40.6955807275,1677 cypress avenue
542,-73.7393864098,40.7535655376,63-053 douglaston parkway
543,-73.8387073527,40.7139722099,49 76th road
544,-73.7486375458,40.7780054069,340 grosvenor street
545,-73.8570428963,40.8065459256,711 bronx river avenue
546,-73.8427816069,40.8398034999,135 westchester avenue
547,-73.7483660705,40.7721843252,139 prospect avenue
548,-73.7510812119,40.6557593999,231-001 148th avenue
549,-73.7042010618,40.7336280166,118 263rd street
550,-73.7495920424,40.7767621199,249 manor road
551,-73.8249479862,40.7916891245,3 north drive
552,-73.8436693742,40.7185482585,57 burns street
553,-73.7477368663,40.6001761688,1326 grandview terrace
554,-73.8400073899,40.7113810432,250 greenway south
555,-73.7463836626,40.7772844634,373 manor road
556,-73.7512408496,40.7793205617,301 richmond road
557,-73.7463777393,40.7762721472,364 hollywood avenue
